company,car type,year,engine volume,km,hand,gear box,color,current owner,price,gas,horse power
סקודה,קודיאק,2019,1498,61000,1,אוטומטית,שחור,חברה,161700,בנזין,150
סקודה,אוקטביה,2019,1498,87778,1,אוטומטית,אפור מטל,-,90500,בנזין,150
מרצדס,GLA,2018,1595,69000,3,אוטומטית,כחול מטל,-,152000,בנזין,156
סקודה,סופרב,2022,1984,38113,1,אוטומטית,אפור מטל,חברה,211050,בנזין,190
סקודה,אוקטביה,2020,1498,114263,1,אוטומטית,שנהב לבן,ליסינג,96367,בנזין,150
פיג'ו,3008,2019,1499,70578,1,אוטומטית,שנהב לבן,חברה,130380,דיזל,130
ב מ וו,סדרה 7,2020,2998,58000,1,אוטומטית,אפור כהה מטלי,חברה,429000,חשמל/בנזין,286
סקודה,קודיאק,2019,1984,102302,1,אוטומטית,כסף מטלי,ליסינג,156000,בנזין,190
קיה,ספורטאז,2019,1598,62010,1,אוטומטית,לבן,-,110900,דיזל,136
דאצ'יה,לוגאן,2019,1461,107749,1,ידנית,לבן,-,51406,דיזל,95
סובארו,XV,2023,1995,0,1,אוטומטית,שחור,חברה,159000,בנזין,152
יונדאי,איוניק,2020,1580,112148,1,אוטומטית,שנהב לבן,ליסינג,99100,בנזין,141
מיצובישי,אטראז,2016,1193,310755,1,אוטומטית,כסוף בהיר,ליסינג,26756,בנזין,80
סיטרואן,C5 איירקרוס,2020,1499,93927,1,אוטומטית,אפור פלדה,חברה,125560,דיזל,130
סובארו,XV,2023,1995,0,1,אוטומטית,אפור כהה,חברה,159000,בנזין,152
סקודה,סופרב,2021,1395,15000,3,אוטומטית,לבן,פרטי,244000,חשמל/בנזין,156
מאזדה,3,2020,1998,68700,1,אוטומטית,שנהב לבן,השכרה,96693,בנזין,165
קיה,ספורטאז,2020,1598,127733,1,אוטומטית,שחור,-,94105,דיזל,136
יונדאי,אקסנט,2019,1368,76687,1,אוטומטית,כסף,ליסינג,78813,בנזין,100
פיג'ו,2008,2020,1199,69956,1,אוטומטית,אפור פלדה,ליסינג,84235,בנזין,110
קיה,נירו,2019,1580,163251,1,אוטומטית,שנהב לבן,ליסינג,113304,בנזין,141
סקודה,אוקטביה,2020,1498,71135,1,אוטומטית,שנהב לבן,ליסינג,109000,בנזין,150
סקודה,אוקטביה,2019,999,111541,1,אוטומטית,כסף מטלי,ליסינג,87832,בנזין,115
קיה,סלטוס,2021,1999,27962,1,אוטומטית,שחור,-,130900,בנזין,149
לנד רובר,דיסקברי,2018,1999,84000,2,אוטומטית,אפור,פרטי,269000,דיזל,240
סקודה,אוקטביה,2019,999,116335,1,אוטומטית,אפור מטל,חברה,108019,בנזין,115
טויוטה,קורולה,2019,1598,92700,1,אוטומטית,כסוף כהה מטלי,חברה,101721,בנזין,132
מאזדה,3,2018,1998,46000,3,אוטומטית,אפור,-,106600,בנזין,165
טויוטה,קורולה,2021,1798,60745,1,אוטומטית,שחור מטלי,חברה,123000,בנזין,98
סיטרואן,ספייסטורר,2020,1199,89164,1,אוטומטית,שנהב לבן,חברה,118384,בנזין,130
פיג'ו,2008,2018,1199,67300,1,אוטומטית,טורקיז,חברה,70712,בנזין,110
סיטרואן,ספייסטורר,2020,1199,91442,1,אוטומטית,אפור פלדה,-,93867,בנזין,130
רנו,קליאו,2018,1197,142230,1,אוטומטית,לבן,-,44000,בנזין,118
צ'רי,FX,2023,1598,0,1,אוטומטית,שנהב לבן,חברה,149000,בנזין,186
מיצובישי,L200,2021,2268,65000,2,אוטומטית,לבן,-,225000,דיזל,150
ניסאן,קשקאי,2019,1332,38500,1,אוטומטית,שנהב לבן,חברה,133000,בנזין,159
מיצובישי,אאוטלנדר,2019,1998,96624,1,אוטומטית,אפור,-,120098,בנזין,150
סקודה,אוקטביה,2019,999,130732,1,אוטומטית,כסף מטלי,-,83900,בנזין,115
קרייזלר,גראנד צ'רוקי,2021,2360,23000,1,אוטומטית,כחול כהה,-,170000,בנזין,177
קאדילאק,XT4,2022,1977,28240,1,אוטומטית,כחול,-,235000,בנזין,237
סיאט,אטקה,2018,1395,88946,1,אוטומטית,אפור,חברה,106565,בנזין,150
טויוטה,קורולה,2020,1798,90767,1,אוטומטית,שנהב לבן,חברה,126986,בנזין,98
יונדאי,אלנטרה,2020,1591,75644,1,אוטומטית,כסוף כהה,חברה,95907,בנזין,127
